agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
-1,Unknown agency,http://hiposfer.com,Europe/Berlin,,,,
67107911,BSAG,http://hiposfer.com,Europe/Berlin,,,,
34967837,DELBUS,http://hiposfer.com,Europe/Berlin,,,,
67234159,BremerhavenBus,http://hiposfer.com,Europe/Berlin,,,,
94911646,Masemann,http://hiposfer.com,Europe/Berlin,,,,
21921969,Weser-Ems_Bus,http://hiposfer.com,Europe/Berlin,,,,
13519773,DHE,http://hiposfer.com,Europe/Berlin,,,,
51451435,Weser-Ems Busverkehr GmbH,http://hiposfer.com,Europe/Berlin,,,,
96359000,Weser-Ems-Bus,http://hiposfer.com,Europe/Berlin,,,,
8830418,Weser-Ems Bus,http://hiposfer.com,Europe/Berlin,,,,
16387488,EVB,http://hiposfer.com,Europe/Berlin,,,,
88422221,DB,http://hiposfer.com,Europe/Berlin,,,,
31030046,NordWestBahn,http://hiposfer.com,Europe/Berlin,,,,
49624408,Deutsche Bahn,http://hiposfer.com,Europe/Berlin,,,,
46890109,Giese,http://hiposfer.com,Europe/Berlin,,,,
2803132,Mein Fernbus,http://hiposfer.com,Europe/Berlin,,,,
63120259,v. Rahden,http://hiposfer.com,Europe/Berlin,,,,
87211914,DHE/Wolters,http://hiposfer.com,Europe/Berlin,,,,
65199999,Weser-Ems Bus (RL Bremen),http://hiposfer.com,Europe/Berlin,,,,
10770189,Weser-Ems-Bus & Buschmann,http://hiposfer.com,Europe/Berlin,,,,
74477169,Farge-Vegesacker Eisenbahn GmbH,http://hiposfer.com,Europe/Berlin,,,,
77749294,Bürgerbus Ritterhude e.V.,http://hiposfer.com,Europe/Berlin,,,,
83874202,Flixbus,http://hiposfer.com,Europe/Berlin,,,,
14008684,"WEB, VGB",http://hiposfer.com,Europe/Berlin,,,,
