route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
19914,67107911,6,Flughafen-Süd-to-Universität-Nord,,0,https://www.openstreetmap.org/relation/19914,,
19936,67107911,8,Roland-Center-to-Kulenkampffallee,,0,https://www.openstreetmap.org/relation/19936,,
19939,67107911,4,Arsten-to-Falkenberg,,0,https://www.openstreetmap.org/relation/19939,,
20061,67107911,3,Gröpelingen-to-Weserwehr,,0,https://www.openstreetmap.org/relation/20061,,
20069,67107911,57,OSM Route No. 20069,,3,https://www.openstreetmap.org/relation/20069,,
20075,67107911,58,Kirchhuchting-to-Kirchhuchting,,3,https://www.openstreetmap.org/relation/20075,,
31635,67107911,29,Kattenturm-Mitte-to-Neue Vahr Nord,,3,https://www.openstreetmap.org/relation/31635,,
32688,67107911,28,Universität-to-Walle,,3,https://www.openstreetmap.org/relation/32688,,
39089,-1,201,Hilversumer Straße-to-Roland-Center,,3,https://www.openstreetmap.org/relation/39089,,
47354,-1,201,Roland-Center-to-Hilversumer Straße,,3,https://www.openstreetmap.org/relation/47354,,
52169,34967837,204,Annenheide-to-Roland-Center,,3,https://www.openstreetmap.org/relation/52169,,
52190,34967837,204,Roland-Center-to-Annenheide,,3,https://www.openstreetmap.org/relation/52190,,
57771,67234159,502,Leherheide-to-Grünhöfe,,3,https://www.openstreetmap.org/relation/57771,,
57776,67234159,503,Leherheide-to-Surheide,,3,https://www.openstreetmap.org/relation/57776,,
59625,67107911,44,Bf Mahndorf-to-Sebaldsbrück,,3,https://www.openstreetmap.org/relation/59625,,
59646,-1,,OSM Route No. 59646,,3,https://www.openstreetmap.org/relation/59646,,
59652,67107911,52,Kattenturm-Mitte-to-Huchting,,3,https://www.openstreetmap.org/relation/59652,,
61332,67107911,37,Sebaldsbrück-to-Bf Mahndorf,,3,https://www.openstreetmap.org/relation/61332,,
61333,67107911,34,Horn-to-Sebaldsbrück,,3,https://www.openstreetmap.org/relation/61333,,
63040,94911646,750,OSM Route No. 63040,,3,https://www.openstreetmap.org/relation/63040,,
70673,-1,,OSM Route No. 70673,,3,https://www.openstreetmap.org/relation/70673,,
71215,67107911,21,Universität-to-Mercedes-Benz,,3,https://www.openstreetmap.org/relation/71215,,
74250,-1,214,Bahnhof ZOB-to-Roland-Center,,3,https://www.openstreetmap.org/relation/74250,,
74258,-1,214,Roland-Center-to-Bahnhof ZOB,,3,https://www.openstreetmap.org/relation/74258,,
75768,21921969,238,"Ganderkesee, Bahnhof-to-Bremen, Mercedes-Benz",,3,https://www.openstreetmap.org/relation/75768,,
75819,21921969,238,"Bremen, Mercedes-Benz-to-Ganderkesee, Bahnhof",,3,https://www.openstreetmap.org/relation/75819,,
78029,13519773,N23,"Wildeshausen, Fun Factory-to-Bremen, Hauptbahnhof",,3,https://www.openstreetmap.org/relation/78029,,
78054,13519773,N23,"Wildeshausen, Fun Factory-to-Bremen, Hauptbahnhof",,3,https://www.openstreetmap.org/relation/78054,,
78130,51451435,237,"Hude, Bahnhof-to-Bremen, Mercedes-Benz",,3,https://www.openstreetmap.org/relation/78130,,
78276,51451435,237,"Bremen, Mercedes-Benz-to-Hude, Bahnhof",,3,https://www.openstreetmap.org/relation/78276,,
78573,-1,125,OSM Route No. 78573,,2,https://www.openstreetmap.org/relation/78573,,
78778,96359000,740,OSM Route No. 78778,,3,https://www.openstreetmap.org/relation/78778,,
78783,-1,730,OSM Route No. 78783,,3,https://www.openstreetmap.org/relation/78783,,
78831,-1,125,Bremen-to-Bremerhaven,,2,https://www.openstreetmap.org/relation/78831,,
85582,8830418,440,Oldenburg ZOB-to-Bremerhaven Hbf,,3,https://www.openstreetmap.org/relation/85582,,
107097,16387488,670,Worpswede-to-Bremen,,3,https://www.openstreetmap.org/relation/107097,,
107098,16387488,630,Zeven-to-Bremen Hbf,,3,https://www.openstreetmap.org/relation/107098,,
110094,67107911,90,Neuenkirchen-to-Gröpelingen,,3,https://www.openstreetmap.org/relation/110094,,
110217,96359000,677,Vegesack-to-Uthlede,,3,https://www.openstreetmap.org/relation/110217,,
