shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
19914,53.0507001,8.7896481,0
19914,53.0529497,8.7861692,1
19914,53.0564241,8.7840563,2
19914,53.0613021,8.7856379,3
19914,53.0638933,8.7897167,4
19914,53.0662897,8.7935685,5
19914,53.0699727,8.7995192,6
19914,53.0723223,8.8038406,7
19914,53.0746639,8.8085323,8
19914,53.0770637,8.8099555,9
19914,53.0798944,8.8104208,10
19914,53.0815366,8.8139555,11
19914,53.0836715,8.8180633,12
19914,53.084571,8.8259259,13
19914,53.0858332,8.83118,14
19914,53.0873066,8.8369841,15
19914,53.0891366,8.8430192,16
19914,53.0915504,8.8458702,17
19914,53.0951069,8.8506981,18
19914,53.0969225,8.8542925,19
19914,53.1026387,8.8593052,20
19914,53.1039256,8.8551294,21
19914,53.1052125,8.8510296,22
19914,53.1079026,8.8525619,23
19914,53.1110282,8.8553194,24
19936,53.0487235,8.7423629,0
19936,53.0587135,8.7598151,1
19936,53.0607045,8.767872,2
19936,53.061757,8.773622,3
19936,53.0650738,8.7793791,4
19936,53.0672763,8.7830583,5
19936,53.069659,8.7871395,6
19936,53.0723058,8.7910119,7
19936,53.0739803,8.7953226,8
19936,53.0729185,8.7993982,9
19936,53.0723223,8.8038406,10
19936,53.0746639,8.8085323,11
19936,53.0770637,8.8099555,12
19936,53.0798944,8.8104208,13
19936,53.0815366,8.8139555,14
19936,53.0836715,8.8180633,15
19936,53.084571,8.8259259,16
19936,53.0858332,8.83118,17
19936,53.0881568,8.8327005,18
19936,53.0880756,8.8326793,19
19936,53.0918793,8.8355005,20
19936,53.0949403,8.8376697,21
19936,53.0979002,8.8401318,22
19939,53.0273316,8.8375386,0
19939,53.0290411,8.8380148,1
19939,53.0325069,8.8381091,2
19939,53.0358664,8.8273203,3
19939,53.037457,8.8224998,4
19939,53.0423834,8.8246019,5
19939,53.0487967,8.8204649,6
19939,53.0519255,8.8190555,7
19939,53.056121,8.8150758,8
19939,53.0587931,8.8128563,9
19939,53.0627292,8.8099589,10
19939,53.0652503,8.8061779,11
19939,53.0677658,8.8019947,12
19939,53.0699361,8.7996577,13
19939,53.0723223,8.8038406,14
19939,53.0746639,8.8085323,15
19939,53.0770637,8.8099555,16
19939,53.0798944,8.8104208,17
19939,53.0813776,8.8137471,18
19939,53.0804719,8.8191314,19
19939,53.0784223,8.8236287,20
19939,53.0801139,8.828437,21
19939,53.081399,8.8323531,22
19939,53.0825726,8.8375664,23
19939,53.0833773,8.8424133,24
19939,53.0851666,8.8494607,25
19939,53.0889138,8.8571089,26
19939,53.090172,8.862558,27
19939,53.0913421,8.8702857,28
19939,53.0969558,8.8700911,29
19939,53.1013556,8.8749503,30
19939,53.1016451,8.8802921,31
19939,53.1057434,8.8845615,32
19939,53.1089233,8.8876905,33
19939,53.1129934,8.8916272,34
19939,53.115353,8.8939199,35
19939,53.1188359,8.8974387,36
19939,53.1238896,8.9000963,37
19939,53.127273,8.8988494,38
19939,53.1354161,8.8985923,39
19939,53.1378574,8.9011975,40
19939,53.1400678,8.9052736,41
19939,53.1432035,8.9088744,42
20061,53.1208614,8.7526525,0
20061,53.1155763,8.7525032,1
20061,53.1123784,8.7525475,2
20061,53.1104187,8.7576501,3
20061,53.1085222,8.7638363,4
20061,53.1042018,8.769071,5
20061,53.1015693,8.7739274,6
20061,53.0980669,8.7762537,7
20061,53.094116,8.7790575,8
20061,53.0910646,8.7819088,9
20061,53.088968,8.784796,10
20061,53.0866183,8.7821095,11
20061,53.0849598,8.7798507,12
20061,53.0829288,8.7879807,13
20061,53.08079,8.7971108,14
20061,53.0786803,8.8018653,15
20061,53.0765942,8.8063656,16
20061,53.0743902,8.8098215,17
20061,53.0723687,8.8170749,18
20061,53.0726718,8.8203676,19
20061,53.0730101,8.8250183,20
20061,53.0721624,8.8288526,21
20061,53.0706825,8.8332242,22
20061,53.0699671,8.8371216,23
20061,53.0688309,8.8437283,24
20061,53.0678136,8.8497004,25
20061,53.0668102,8.8558829,26
20061,53.0662127,8.8603975,27
20061,53.063782,8.8677889,28
20069,53.0403426,8.7304116,0
20069,53.0403894,8.7303077,1
