trip_id,arrival_time,departure_time,stop_id,stop_sequence
10.35886,05:00:00,05:00:30,2961990970,0
10.35886,05:00:33,05:01:03,2961990971,1
10.35886,05:25:58,05:26:28,4792847462,2
10.35886,05:26:32,05:27:02,4792847463,3
10.35886,05:34:41,05:35:11,690288216,4
10.35886,05:54:54,05:55:24,297933072,5
10.35886,05:55:33,05:56:03,297933070,6
10.35886,05:56:12,05:56:42,2960140443,7
10.35886,05:56:51,05:57:21,2960140444,8
10.35886,06:11:30,06:12:00,301849994,9
10.35886,06:18:03,06:18:33,4216160395,10
10.35886,06:45:00,06:45:30,296449577,11
10.35886,06:45:34,06:46:04,296449580,12
10.35886,07:08:39,07:09:09,301849995,13
10.35886,07:14:24,07:14:54,671245944,14
10.35886,07:24:07,07:24:37,4216160394,15
10.35886,08:10:35,08:11:05,412649940,16
10.35886,08:42:23,08:42:53,2440653309,17
10.35886,08:44:19,08:44:49,295706325,18
10.35886,08:44:56,08:45:26,295706324,19
10.35886,08:45:27,08:45:57,2960140446,20
10.35886,08:46:05,08:46:35,2960140445,21
10.35886,09:07:03,09:07:33,2426182756,22
10.35886,09:08:30,09:09:00,2229521800,23
10.35886,09:10:29,09:10:59,299070830,24
10.35886,09:12:35,09:13:05,301853528,25
10.35886,09:14:26,09:14:56,322139844,26
10.35886,09:16:17,09:16:47,301852563,27
10.35886,09:21:53,09:22:23,2434691695,28
10.35886,09:28:31,09:29:01,301817973,29
10.35886,09:29:05,09:29:35,427513298,30
10.35886,09:35:56,09:36:26,301851161,31
10.35886,09:41:19,09:41:49,301852562,32
10.35886,09:44:28,09:44:58,301853530,33
10.35886,09:46:39,09:47:09,334861233,34
10.35886,09:48:36,09:49:06,2426182755,35
10.35886,09:50:24,09:50:54,2426182757,36
10.35886,10:00:28,10:00:58,1301343826,37
10.35886,10:11:47,10:12:17,293811696,38
10.35886,10:26:56,10:27:26,301819408,39
10.35886,10:54:04,10:54:34,295518511,40
20.35886,05:20:00,05:20:30,2961990970,0
20.35886,05:20:33,05:21:03,2961990971,1
20.35886,05:45:58,05:46:28,4792847462,2
20.35886,05:46:32,05:47:02,4792847463,3
20.35886,05:54:41,05:55:11,690288216,4
20.35886,06:14:54,06:15:24,297933072,5
20.35886,06:15:33,06:16:03,297933070,6
20.35886,06:16:12,06:16:42,2960140443,7
20.35886,06:16:51,06:17:21,2960140444,8
20.35886,06:31:30,06:32:00,301849994,9
20.35886,06:38:03,06:38:33,4216160395,10
20.35886,07:05:00,07:05:30,296449577,11
20.35886,07:05:34,07:06:04,296449580,12
20.35886,07:28:39,07:29:09,301849995,13
20.35886,07:34:24,07:34:54,671245944,14
20.35886,07:44:07,07:44:37,4216160394,15
20.35886,08:30:35,08:31:05,412649940,16
20.35886,09:02:23,09:02:53,2440653309,17
20.35886,09:04:19,09:04:49,295706325,18
20.35886,09:04:56,09:05:26,295706324,19
20.35886,09:05:27,09:05:57,2960140446,20
20.35886,09:06:05,09:06:35,2960140445,21
20.35886,09:27:03,09:27:33,2426182756,22
20.35886,09:28:30,09:29:00,2229521800,23
20.35886,09:30:29,09:30:59,299070830,24
20.35886,09:32:35,09:33:05,301853528,25
20.35886,09:34:26,09:34:56,322139844,26
20.35886,09:36:17,09:36:47,301852563,27
20.35886,09:41:53,09:42:23,2434691695,28
20.35886,09:48:31,09:49:01,301817973,29
20.35886,09:49:05,09:49:35,427513298,30
20.35886,09:55:56,09:56:26,301851161,31
20.35886,10:01:19,10:01:49,301852562,32
20.35886,10:04:28,10:04:58,301853530,33
20.35886,10:06:39,10:07:09,334861233,34
20.35886,10:08:36,10:09:06,2426182755,35
20.35886,10:10:24,10:10:54,2426182757,36
20.35886,10:20:28,10:20:58,1301343826,37
20.35886,10:31:47,10:32:17,293811696,38
20.35886,10:46:56,10:47:26,301819408,39
20.35886,11:14:04,11:14:34,295518511,40
30.35886,05:40:00,05:40:30,2961990970,0
30.35886,05:40:33,05:41:03,2961990971,1
30.35886,06:05:58,06:06:28,4792847462,2
30.35886,06:06:32,06:07:02,4792847463,3
30.35886,06:14:41,06:15:11,690288216,4
30.35886,06:34:54,06:35:24,297933072,5
30.35886,06:35:33,06:36:03,297933070,6
30.35886,06:36:12,06:36:42,2960140443,7
30.35886,06:36:51,06:37:21,2960140444,8
30.35886,06:51:30,06:52:00,301849994,9
30.35886,06:58:03,06:58:33,4216160395,10
30.35886,07:25:00,07:25:30,296449577,11
30.35886,07:25:34,07:26:04,296449580,12
30.35886,07:48:39,07:49:09,301849995,13
30.35886,07:54:24,07:54:54,671245944,14
30.35886,08:04:07,08:04:37,4216160394,15
30.35886,08:50:35,08:51:05,412649940,16
30.35886,09:22:23,09:22:53,2440653309,17
30.35886,09:24:19,09:24:49,295706325,18
30.35886,09:24:56,09:25:26,295706324,19
30.35886,09:25:27,09:25:57,2960140446,20
30.35886,09:26:05,09:26:35,2960140445,21
30.35886,09:47:03,09:47:33,2426182756,22
30.35886,09:48:30,09:49:00,2229521800,23
30.35886,09:50:29,09:50:59,299070830,24
30.35886,09:52:35,09:53:05,301853528,25
30.35886,09:54:26,09:54:56,322139844,26
30.35886,09:56:17,09:56:47,301852563,27
30.35886,10:01:53,10:02:23,2434691695,28
30.35886,10:08:31,10:09:01,301817973,29
30.35886,10:09:05,10:09:35,427513298,30
30.35886,10:15:56,10:16:26,301851161,31
30.35886,10:21:19,10:21:49,301852562,32
30.35886,10:24:28,10:24:58,301853530,33
30.35886,10:26:39,10:27:09,334861233,34
30.35886,10:28:36,10:29:06,2426182755,35
30.35886,10:30:24,10:30:54,2426182757,36
30.35886,10:40:28,10:40:58,1301343826,37
30.35886,10:51:47,10:52:17,293811696,38
30.35886,11:06:56,11:07:26,301819408,39
