trip_id,start_time,end_time,headway_secs
10.237155,04:30:00,08:30:00,1200
10.237155,08:30:00,20:30:00,1800
10.237155,20:30:00,25:30:00,2800
20.237155,04:30:00,08:30:00,1200
20.237155,08:30:00,20:30:00,1800
20.237155,20:30:00,25:30:00,2800
30.237155,04:30:00,08:30:00,1200
30.237155,08:30:00,20:30:00,1800
30.237155,20:30:00,25:30:00,2800
11.237155,04:30:00,08:30:00,1200
11.237155,08:30:00,20:30:00,1800
11.237155,20:30:00,25:30:00,2800
21.237155,04:30:00,08:30:00,1200
21.237155,08:30:00,20:30:00,1800
21.237155,20:30:00,25:30:00,2800
31.237155,04:30:00,08:30:00,1200
31.237155,08:30:00,20:30:00,1800
31.237155,20:30:00,25:30:00,2800
10.237740,04:30:00,08:30:00,1200
10.237740,08:30:00,20:30:00,1800
10.237740,20:30:00,25:30:00,2800
20.237740,04:30:00,08:30:00,1200
20.237740,08:30:00,20:30:00,1800
20.237740,20:30:00,25:30:00,2800
30.237740,04:30:00,08:30:00,1200
30.237740,08:30:00,20:30:00,1800
30.237740,20:30:00,25:30:00,2800
11.237740,04:30:00,08:30:00,1200
11.237740,08:30:00,20:30:00,1800
11.237740,20:30:00,25:30:00,2800
21.237740,04:30:00,08:30:00,1200
21.237740,08:30:00,20:30:00,1800
21.237740,20:30:00,25:30:00,2800
31.237740,04:30:00,08:30:00,1200
31.237740,08:30:00,20:30:00,1800
31.237740,20:30:00,25:30:00,2800
10.385708,04:30:00,08:30:00,1200
10.385708,08:30:00,20:30:00,1800
10.385708,20:30:00,25:30:00,2800
20.385708,04:30:00,08:30:00,1200
20.385708,08:30:00,20:30:00,1800
20.385708,20:30:00,25:30:00,2800
30.385708,04:30:00,08:30:00,1200
30.385708,08:30:00,20:30:00,1800
30.385708,20:30:00,25:30:00,2800
11.385708,04:30:00,08:30:00,1200
11.385708,08:30:00,20:30:00,1800
11.385708,20:30:00,25:30:00,2800
21.385708,04:30:00,08:30:00,1200
21.385708,08:30:00,20:30:00,1800
21.385708,20:30:00,25:30:00,2800
31.385708,04:30:00,08:30:00,1200
31.385708,08:30:00,20:30:00,1800
31.385708,20:30:00,25:30:00,2800
10.405625,04:30:00,08:30:00,1200
10.405625,08:30:00,20:30:00,1800
10.405625,20:30:00,25:30:00,2800
20.405625,04:30:00,08:30:00,1200
20.405625,08:30:00,20:30:00,1800
20.405625,20:30:00,25:30:00,2800
30.405625,04:30:00,08:30:00,1200
30.405625,08:30:00,20:30:00,1800
30.405625,20:30:00,25:30:00,2800
11.405625,04:30:00,08:30:00,1200
11.405625,08:30:00,20:30:00,1800
11.405625,20:30:00,25:30:00,2800
21.405625,04:30:00,08:30:00,1200
21.405625,08:30:00,20:30:00,1800
21.405625,20:30:00,25:30:00,2800
31.405625,04:30:00,08:30:00,1200
31.405625,08:30:00,20:30:00,1800
31.405625,20:30:00,25:30:00,2800
10.405907,04:30:00,08:30:00,1200
10.405907,08:30:00,20:30:00,1800
10.405907,20:30:00,25:30:00,2800
20.405907,04:30:00,08:30:00,1200
20.405907,08:30:00,20:30:00,1800
20.405907,20:30:00,25:30:00,2800
30.405907,04:30:00,08:30:00,1200
30.405907,08:30:00,20:30:00,1800
30.405907,20:30:00,25:30:00,2800
11.405907,04:30:00,08:30:00,1200
11.405907,08:30:00,20:30:00,1800
11.405907,20:30:00,25:30:00,2800
21.405907,04:30:00,08:30:00,1200
21.405907,08:30:00,20:30:00,1800
21.405907,20:30:00,25:30:00,2800
31.405907,04:30:00,08:30:00,1200
31.405907,08:30:00,20:30:00,1800
31.405907,20:30:00,25:30:00,2800
10.405963,04:30:00,08:30:00,1200
10.405963,08:30:00,20:30:00,1800
10.405963,20:30:00,25:30:00,2800
20.405963,04:30:00,08:30:00,1200
20.405963,08:30:00,20:30:00,1800
20.405963,20:30:00,25:30:00,2800
30.405963,04:30:00,08:30:00,1200
30.405963,08:30:00,20:30:00,1800
30.405963,20:30:00,25:30:00,2800
11.405963,04:30:00,08:30:00,1200
11.405963,08:30:00,20:30:00,1800
11.405963,20:30:00,25:30:00,2800
21.405963,04:30:00,08:30:00,1200
21.405963,08:30:00,20:30:00,1800
21.405963,20:30:00,25:30:00,2800
31.405963,04:30:00,08:30:00,1200
31.405963,08:30:00,20:30:00,1800
31.405963,20:30:00,25:30:00,2800
10.406014,04:30:00,08:30:00,1200
10.406014,08:30:00,20:30:00,1800
10.406014,20:30:00,25:30:00,2800
20.406014,04:30:00,08:30:00,1200
20.406014,08:30:00,20:30:00,1800
20.406014,20:30:00,25:30:00,2800
30.406014,04:30:00,08:30:00,1200
30.406014,08:30:00,20:30:00,1800
30.406014,20:30:00,25:30:00,2800
11.406014,04:30:00,08:30:00,1200
11.406014,08:30:00,20:30:00,1800
11.406014,20:30:00,25:30:00,2800
21.406014,04:30:00,08:30:00,1200
21.406014,08:30:00,20:30:00,1800
21.406014,20:30:00,25:30:00,2800
31.406014,04:30:00,08:30:00,1200
31.406014,08:30:00,20:30:00,1800
31.406014,20:30:00,25:30:00,2800
