route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
237155,45680202,138,Römerkastell-to-Dudweiler Dudoplatz,,3,https://www.openstreetmap.org/relation/237155,,
237740,45680202,112,Universität Busterminal-to-Betriebshof,,3,https://www.openstreetmap.org/relation/237740,,
385708,73875111,R200,"Trier, Hauptbahnhof-to-Türkismühle, Bahnhof",,3,https://www.openstreetmap.org/relation/385708,,
405625,45680202,107,Saarbasar-to-Folsterhöhe Siedlung,,3,https://www.openstreetmap.org/relation/405625,,
405907,42696028,132,Dudweiler Dudoplatz-to-Sulzbach Wendeschleife,,3,https://www.openstreetmap.org/relation/405907,,
405940,-1,133,Dudweiler Dudoplatz-to-Dudweiler Dudoplatz,,3,https://www.openstreetmap.org/relation/405940,,
405946,-1,164,Dudweiler Dudoplatz-to-Welkertswiesen,,3,https://www.openstreetmap.org/relation/405946,,
405963,45680202,111,Universität Busterminal-to-Rabbiner-Rülf-Platz,,3,https://www.openstreetmap.org/relation/405963,,
405964,45680202,106,Rotenbühl-to-Folsterhöhe Siedlung,,3,https://www.openstreetmap.org/relation/405964,,
406014,97537342,170,St.Ingbert Bahnhof-to-St.Ingbert Bahnhof,,3,https://www.openstreetmap.org/relation/406014,,
406459,-1,160,St. Ingbert Rendezvous-Platz-to-Sulzbach Bahnhof / Dudweiler Dudoplatz,,3,https://www.openstreetmap.org/relation/406459,,
416496,45680202,129,Rußhütte-to-Rathaus,,3,https://www.openstreetmap.org/relation/416496,,
418074,-1,463,Lebach-to-Saarlouis,,3,https://www.openstreetmap.org/relation/418074,,
446758,-1,R6,Neunkirchen-to-St. Ingbert,,3,https://www.openstreetmap.org/relation/446758,,
450843,-1,174,Göttelborn Spiel− und Sportzentrum-to-Saarbrücken Landwehrplatz,,3,https://www.openstreetmap.org/relation/450843,,
450854,-1,172,Saarbrücken Hbf-to-Göttelborn Friedhof,,3,https://www.openstreetmap.org/relation/450854,,
450872,-1,301,Neunkirchen Stummdenkmal-to-Illingen Bahnhof/Merchweiler Auf Pfuhlst,,3,https://www.openstreetmap.org/relation/450872,,
457083,-1,R2,Sankt Wendel-to-Wadern,,3,https://www.openstreetmap.org/relation/457083,,
538221,-1,309,Neunkirchen Stummdenkmal-to-Neunkirchen Stummdenkmal,,3,https://www.openstreetmap.org/relation/538221,,
538255,-1,192,Riegelsberg Süd-to-Köllerbach,,3,https://www.openstreetmap.org/relation/538255,,
576101,-1,314,,,3,https://www.openstreetmap.org/relation/576101,,
576112,-1,R9,Saarbrücken-to-Lebach,,3,https://www.openstreetmap.org/relation/576112,,
721798,9515996,175,Hüttigweiler Apotheke-to-Saarbrücken Hauptbahnhof,,3,https://www.openstreetmap.org/relation/721798,,
721825,-1,350,Illingen Bahnhof-to-Ottweiler Bahnhof,,3,https://www.openstreetmap.org/relation/721825,,
721826,-1,353,,,3,https://www.openstreetmap.org/relation/721826,,
812298,-1,307,Schiffweiler Rathaus-to-Lansdweiler Reden Bahnhof,,3,https://www.openstreetmap.org/relation/812298,,
812456,-1,302,Neunkirchen-to-Hanauer Mühle/Ottweiler Tulpenweg,,3,https://www.openstreetmap.org/relation/812456,,
812457,-1,304,Wellesweiler Friedhof/Wellesweiler Hirschbergsiedlung-to-Breitenbach Wendeplatz,,3,https://www.openstreetmap.org/relation/812457,,
812655,-1,303,Neunkirchen Stummdenkmal-to-Oberbexbach Markt,,3,https://www.openstreetmap.org/relation/812655,,
812761,-1,305,Neunkirchen Hauptbahnhof-to-Furpach Zentralfriedhof,,3,https://www.openstreetmap.org/relation/812761,,
812782,-1,310,Neunkirchen Hauptbahnhof-to-Neunkurchen „Die Lakai“,,3,https://www.openstreetmap.org/relation/812782,,
906823,-1,R3,Lebach-to-Wadern,,3,https://www.openstreetmap.org/relation/906823,,
909981,-1,311,,,3,https://www.openstreetmap.org/relation/909981,,
910005,-1,312,Neunkirchen Biedersberg-to-Neunkirchen Storchenplatz,,3,https://www.openstreetmap.org/relation/910005,,
910012,-1,315,Furpach Zentralfriedhof-to-Homburg Uniklinik,,3,https://www.openstreetmap.org/relation/910012,,
910889,-1,316,Neunkirchen Stummdenkmal-to-Wiebelskirchen Wibilohaus,,3,https://www.openstreetmap.org/relation/910889,,
911939,-1,134,Rastpfuhl Bernkasteler Platz-to-Dellbrückschacht,,3,https://www.openstreetmap.org/relation/911939,,
919401,-1,308,Wemmetsweiler Kirche-to-Illingen Bahnhof,,3,https://www.openstreetmap.org/relation/919401,,
919490,-1,318,Wemmetsweiler Drosselweg-to-Merchweiler Bahnhof,,3,https://www.openstreetmap.org/relation/919490,,
