shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
237155.01237155,49.2270846,7.0207438,0
237155.01237155,49.2257493,7.0355784,1
237155.01237155,49.2375428,7.0561765,2
237155.01237155,49.2547174,7.0403373,3
237155.01237155,49.276422,7.0329183,4
237740.01237740,49.2433789,7.0118103,0
237740.01237740,49.2401746,7.0000431,1
237740.01237740,49.2385384,6.9979364,2
237740.01237740,49.2402327,6.9898115,3
237740.01237740,49.2402489,6.9845333,4
237740.01237740,49.2391441,6.9797631,5
237740.01237740,49.2393151,6.9747373,6
237740.01237740,49.2336659,6.9737619,7
405625.01405625,49.2318537,7.0492216,0
405625.01405625,49.2324515,7.0497857,1
405625.01405625,49.2353824,7.0498945,2
405625.01405625,49.2367694,7.0490387,3
405625.01405625,49.2378984,7.0457014,4
405625.01405625,49.2379524,7.0409736,5
405625.01405625,49.2375103,7.0361544,6
405625.01405625,49.2356505,7.0357415,7
405625.01405625,49.2411163,7.0183361,8
405625.01405625,49.2416816,7.0242687,9
405625.01405625,49.236841,6.9966845,10
405625.01405625,49.2341744,6.9935527,11
405625.01405625,49.2329961,6.9881631,12
405625.01405625,49.2318498,6.9847888,13
405625.01405625,49.2251481,6.9763795,14
405625.01405625,49.2186457,6.9678214,15
405625.01405625,49.2207456,6.9648208,16
405625.01405625,49.2230325,6.963818,17
405907.01405907,49.2796163,7.0371128,0
405907.01405907,49.2795907,7.0367444,1
405907.01405907,49.2819038,7.0379681,2
405907.01405907,49.2818256,7.037905,3
405907.01405907,49.2845691,7.0362098,4
405907.01405907,49.2844368,7.0360905,5
405907.01405907,49.2860476,7.0342475,6
405907.01405907,49.285938,7.0341646,7
405907.01405907,49.2879796,7.0321006,8
405907.01405907,49.2875808,7.0321275,9
405907.01405907,49.2901318,7.0290027,10
405907.01405907,49.2899153,7.0294172,11
405907.01405907,49.2943114,7.0274584,12
405907.01405907,49.2990004,7.0259789,13
405907.01405907,49.2991395,7.025777,14
405907.01405907,49.3040577,7.0268289,15
405907.01405907,49.3037849,7.0263099,16
405907.01405907,49.3074547,7.0287272,17
405907.01405907,49.3071493,7.0279916,18
405907.01405907,49.3094224,7.0314275,19
405907.01405907,49.309627,7.0313953,20
405907.01405907,49.3116597,7.0374612,21
405907.01405907,49.3116824,7.0372184,22
405907.01405907,49.3136691,7.0427118,23
405907.01405907,49.3137186,7.0426401,24
405907.01405907,49.3164922,7.0483398,25
405907.01405907,49.3165307,7.0481949,26
405907.01405907,49.3223253,7.0547453,27
405907.01405907,49.3223462,7.0545881,28
405907.01405907,49.3247775,7.0534814,29
405907.01405907,49.3246796,7.0533687,30
405907.01405907,49.3263703,7.0417136,31
405907.01405907,49.3263746,7.0490267,32
405907.01405907,49.3289094,7.0507084,33
