agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
-1,Unknown agency,http://hiposfer.com,Europe/Berlin,,,,
50108231,Südbadenbus GmbH,http://hiposfer.com,Europe/Berlin,,,,
66653266,RAST Reisen,http://hiposfer.com,Europe/Berlin,,,,
59038768,Freiburger Verkehrs AG,http://hiposfer.com,Europe/Berlin,,,,
64664046,Tuniberg Express,http://hiposfer.com,Europe/Berlin,,,,
77150836,Auto Hummel,http://hiposfer.com,Europe/Berlin,,,,
44041464,Bustouristik Winterhalter,http://hiposfer.com,Europe/Berlin,,,,
63079584,Binninger,http://hiposfer.com,Europe/Berlin,,,,
66543996,SWEG,http://hiposfer.com,Europe/Berlin,,,,
70663970,Taxi Dold,http://hiposfer.com,Europe/Berlin,,,,
34745836,Lucien Kunegel,http://hiposfer.com,Europe/Berlin,,,,
2123873,Freunde der Freiburger Straßenbahn e.V.,http://hiposfer.com,Europe/Berlin,,,,
98110442,Schlossbergbahn GmbH & Co. KG,http://hiposfer.com,Europe/Berlin,,,,
20979432,Bürgerbus Breisach,http://hiposfer.com,Europe/Berlin,,,,
64477353,Flixmobility GmbH,http://hiposfer.com,Europe/Berlin,,,,
31487274,Schmitt-Reisen,http://hiposfer.com,Europe/Berlin,,,,
67061177,"Tuniberg Express, RAST-Reisen",http://hiposfer.com,Europe/Berlin,,,,
83874202,Flixbus,http://hiposfer.com,Europe/Berlin,,,,
97698839,DB Regio,http://hiposfer.com,Europe/Berlin,,,,
