trip_id,start_time,end_time,headway_secs
10.35886,04:30:00,08:30:00,1200
10.35886,08:30:00,20:30:00,1800
10.35886,20:30:00,25:30:00,2800
20.35886,04:30:00,08:30:00,1200
20.35886,08:30:00,20:30:00,1800
20.35886,20:30:00,25:30:00,2800
30.35886,04:30:00,08:30:00,1200
30.35886,08:30:00,20:30:00,1800
30.35886,20:30:00,25:30:00,2800
11.35886,04:30:00,08:30:00,1200
11.35886,08:30:00,20:30:00,1800
11.35886,20:30:00,25:30:00,2800
21.35886,04:30:00,08:30:00,1200
21.35886,08:30:00,20:30:00,1800
21.35886,20:30:00,25:30:00,2800
31.35886,04:30:00,08:30:00,1200
31.35886,08:30:00,20:30:00,1800
31.35886,20:30:00,25:30:00,2800
10.51487,04:30:00,08:30:00,1200
10.51487,08:30:00,20:30:00,1800
10.51487,20:30:00,25:30:00,2800
20.51487,04:30:00,08:30:00,1200
20.51487,08:30:00,20:30:00,1800
20.51487,20:30:00,25:30:00,2800
30.51487,04:30:00,08:30:00,1200
30.51487,08:30:00,20:30:00,1800
30.51487,20:30:00,25:30:00,2800
11.51487,04:30:00,08:30:00,1200
11.51487,08:30:00,20:30:00,1800
11.51487,20:30:00,25:30:00,2800
21.51487,04:30:00,08:30:00,1200
21.51487,08:30:00,20:30:00,1800
21.51487,20:30:00,25:30:00,2800
31.51487,04:30:00,08:30:00,1200
31.51487,08:30:00,20:30:00,1800
31.51487,20:30:00,25:30:00,2800
10.68224,04:30:00,08:30:00,1200
10.68224,08:30:00,20:30:00,1800
10.68224,20:30:00,25:30:00,2800
20.68224,04:30:00,08:30:00,1200
20.68224,08:30:00,20:30:00,1800
20.68224,20:30:00,25:30:00,2800
30.68224,04:30:00,08:30:00,1200
30.68224,08:30:00,20:30:00,1800
30.68224,20:30:00,25:30:00,2800
11.68224,04:30:00,08:30:00,1200
11.68224,08:30:00,20:30:00,1800
11.68224,20:30:00,25:30:00,2800
21.68224,04:30:00,08:30:00,1200
21.68224,08:30:00,20:30:00,1800
21.68224,20:30:00,25:30:00,2800
31.68224,04:30:00,08:30:00,1200
31.68224,08:30:00,20:30:00,1800
31.68224,20:30:00,25:30:00,2800
10.68320,04:30:00,08:30:00,1200
10.68320,08:30:00,20:30:00,1800
10.68320,20:30:00,25:30:00,2800
20.68320,04:30:00,08:30:00,1200
20.68320,08:30:00,20:30:00,1800
20.68320,20:30:00,25:30:00,2800
30.68320,04:30:00,08:30:00,1200
30.68320,08:30:00,20:30:00,1800
30.68320,20:30:00,25:30:00,2800
11.68320,04:30:00,08:30:00,1200
11.68320,08:30:00,20:30:00,1800
11.68320,20:30:00,25:30:00,2800
21.68320,04:30:00,08:30:00,1200
21.68320,08:30:00,20:30:00,1800
21.68320,20:30:00,25:30:00,2800
31.68320,04:30:00,08:30:00,1200
31.68320,08:30:00,20:30:00,1800
31.68320,20:30:00,25:30:00,2800
10.68558,04:30:00,08:30:00,1200
10.68558,08:30:00,20:30:00,1800
10.68558,20:30:00,25:30:00,2800
20.68558,04:30:00,08:30:00,1200
20.68558,08:30:00,20:30:00,1800
20.68558,20:30:00,25:30:00,2800
30.68558,04:30:00,08:30:00,1200
30.68558,08:30:00,20:30:00,1800
30.68558,20:30:00,25:30:00,2800
11.68558,04:30:00,08:30:00,1200
11.68558,08:30:00,20:30:00,1800
11.68558,20:30:00,25:30:00,2800
21.68558,04:30:00,08:30:00,1200
21.68558,08:30:00,20:30:00,1800
21.68558,20:30:00,25:30:00,2800
31.68558,04:30:00,08:30:00,1200
31.68558,08:30:00,20:30:00,1800
31.68558,20:30:00,25:30:00,2800
10.68648,04:30:00,08:30:00,1200
10.68648,08:30:00,20:30:00,1800
10.68648,20:30:00,25:30:00,2800
20.68648,04:30:00,08:30:00,1200
20.68648,08:30:00,20:30:00,1800
20.68648,20:30:00,25:30:00,2800
30.68648,04:30:00,08:30:00,1200
30.68648,08:30:00,20:30:00,1800
30.68648,20:30:00,25:30:00,2800
11.68648,04:30:00,08:30:00,1200
11.68648,08:30:00,20:30:00,1800
11.68648,20:30:00,25:30:00,2800
21.68648,04:30:00,08:30:00,1200
21.68648,08:30:00,20:30:00,1800
21.68648,20:30:00,25:30:00,2800
31.68648,04:30:00,08:30:00,1200
31.68648,08:30:00,20:30:00,1800
31.68648,20:30:00,25:30:00,2800
10.69270,04:30:00,08:30:00,1200
10.69270,08:30:00,20:30:00,1800
10.69270,20:30:00,25:30:00,2800
20.69270,04:30:00,08:30:00,1200
20.69270,08:30:00,20:30:00,1800
20.69270,20:30:00,25:30:00,2800
30.69270,04:30:00,08:30:00,1200
30.69270,08:30:00,20:30:00,1800
30.69270,20:30:00,25:30:00,2800
11.69270,04:30:00,08:30:00,1200
11.69270,08:30:00,20:30:00,1800
11.69270,20:30:00,25:30:00,2800
21.69270,04:30:00,08:30:00,1200
21.69270,08:30:00,20:30:00,1800
21.69270,20:30:00,25:30:00,2800
31.69270,04:30:00,08:30:00,1200
31.69270,08:30:00,20:30:00,1800
31.69270,20:30:00,25:30:00,2800
10.69322,04:30:00,08:30:00,1200
10.69322,08:30:00,20:30:00,1800
10.69322,20:30:00,25:30:00,2800
20.69322,04:30:00,08:30:00,1200
20.69322,08:30:00,20:30:00,1800
20.69322,20:30:00,25:30:00,2800
30.69322,04:30:00,08:30:00,1200
30.69322,08:30:00,20:30:00,1800
30.69322,20:30:00,25:30:00,2800
11.69322,04:30:00,08:30:00,1200
11.69322,08:30:00,20:30:00,1800
11.69322,20:30:00,25:30:00,2800
21.69322,04:30:00,08:30:00,1200
21.69322,08:30:00,20:30:00,1800
21.69322,20:30:00,25:30:00,2800
31.69322,04:30:00,08:30:00,1200
31.69322,08:30:00,20:30:00,1800
31.69322,20:30:00,25:30:00,2800
10.69347,04:30:00,08:30:00,1200
10.69347,08:30:00,20:30:00,1800
10.69347,20:30:00,25:30:00,2800
20.69347,04:30:00,08:30:00,1200
20.69347,08:30:00,20:30:00,1800
20.69347,20:30:00,25:30:00,2800
30.69347,04:30:00,08:30:00,1200
30.69347,08:30:00,20:30:00,1800
30.69347,20:30:00,25:30:00,2800
11.69347,04:30:00,08:30:00,1200
11.69347,08:30:00,20:30:00,1800
11.69347,20:30:00,25:30:00,2800
21.69347,04:30:00,08:30:00,1200
21.69347,08:30:00,20:30:00,1800
21.69347,20:30:00,25:30:00,2800
31.69347,04:30:00,08:30:00,1200
31.69347,08:30:00,20:30:00,1800
31.69347,20:30:00,25:30:00,2800
10.69672,04:30:00,08:30:00,1200
10.69672,08:30:00,20:30:00,1800
10.69672,20:30:00,25:30:00,2800
20.69672,04:30:00,08:30:00,1200
20.69672,08:30:00,20:30:00,1800
20.69672,20:30:00,25:30:00,2800
30.69672,04:30:00,08:30:00,1200
30.69672,08:30:00,20:30:00,1800
30.69672,20:30:00,25:30:00,2800
11.69672,04:30:00,08:30:00,1200
11.69672,08:30:00,20:30:00,1800
11.69672,20:30:00,25:30:00,2800
21.69672,04:30:00,08:30:00,1200
21.69672,08:30:00,20:30:00,1800
21.69672,20:30:00,25:30:00,2800
31.69672,04:30:00,08:30:00,1200
31.69672,08:30:00,20:30:00,1800
31.69672,20:30:00,25:30:00,2800
10.69742,04:30:00,08:30:00,1200
10.69742,08:30:00,20:30:00,1800
10.69742,20:30:00,25:30:00,2800
20.69742,04:30:00,08:30:00,1200
20.69742,08:30:00,20:30:00,1800
20.69742,20:30:00,25:30:00,2800
30.69742,04:30:00,08:30:00,1200
30.69742,08:30:00,20:30:00,1800
30.69742,20:30:00,25:30:00,2800
11.69742,04:30:00,08:30:00,1200
11.69742,08:30:00,20:30:00,1800
11.69742,20:30:00,25:30:00,2800
21.69742,04:30:00,08:30:00,1200
21.69742,08:30:00,20:30:00,1800
21.69742,20:30:00,25:30:00,2800
31.69742,04:30:00,08:30:00,1200
31.69742,08:30:00,20:30:00,1800
31.69742,20:30:00,25:30:00,2800
10.69754,04:30:00,08:30:00,1200
10.69754,08:30:00,20:30:00,1800
10.69754,20:30:00,25:30:00,2800
20.69754,04:30:00,08:30:00,1200
20.69754,08:30:00,20:30:00,1800
20.69754,20:30:00,25:30:00,2800
30.69754,04:30:00,08:30:00,1200
30.69754,08:30:00,20:30:00,1800
30.69754,20:30:00,25:30:00,2800
11.69754,04:30:00,08:30:00,1200
11.69754,08:30:00,20:30:00,1800
11.69754,20:30:00,25:30:00,2800
21.69754,04:30:00,08:30:00,1200
21.69754,08:30:00,20:30:00,1800
21.69754,20:30:00,25:30:00,2800
31.69754,04:30:00,08:30:00,1200
31.69754,08:30:00,20:30:00,1800
31.69754,20:30:00,25:30:00,2800
10.69914,04:30:00,08:30:00,1200
10.69914,08:30:00,20:30:00,1800
10.69914,20:30:00,25:30:00,2800
20.69914,04:30:00,08:30:00,1200
20.69914,08:30:00,20:30:00,1800
20.69914,20:30:00,25:30:00,2800
30.69914,04:30:00,08:30:00,1200
30.69914,08:30:00,20:30:00,1800
30.69914,20:30:00,25:30:00,2800
11.69914,04:30:00,08:30:00,1200
11.69914,08:30:00,20:30:00,1800
11.69914,20:30:00,25:30:00,2800
21.69914,04:30:00,08:30:00,1200
21.69914,08:30:00,20:30:00,1800
21.69914,20:30:00,25:30:00,2800
31.69914,04:30:00,08:30:00,1200
31.69914,08:30:00,20:30:00,1800
31.69914,20:30:00,25:30:00,2800
10.69916,04:30:00,08:30:00,1200
10.69916,08:30:00,20:30:00,1800
10.69916,20:30:00,25:30:00,2800
20.69916,04:30:00,08:30:00,1200
20.69916,08:30:00,20:30:00,1800
20.69916,20:30:00,25:30:00,2800
30.69916,04:30:00,08:30:00,1200
30.69916,08:30:00,20:30:00,1800
30.69916,20:30:00,25:30:00,2800
11.69916,04:30:00,08:30:00,1200
11.69916,08:30:00,20:30:00,1800
11.69916,20:30:00,25:30:00,2800
21.69916,04:30:00,08:30:00,1200
21.69916,08:30:00,20:30:00,1800
21.69916,20:30:00,25:30:00,2800
31.69916,04:30:00,08:30:00,1200
31.69916,08:30:00,20:30:00,1800
31.69916,20:30:00,25:30:00,2800
10.69936,04:30:00,08:30:00,1200
10.69936,08:30:00,20:30:00,1800
10.69936,20:30:00,25:30:00,2800
20.69936,04:30:00,08:30:00,1200
20.69936,08:30:00,20:30:00,1800
20.69936,20:30:00,25:30:00,2800
30.69936,04:30:00,08:30:00,1200
30.69936,08:30:00,20:30:00,1800
30.69936,20:30:00,25:30:00,2800
11.69936,04:30:00,08:30:00,1200
11.69936,08:30:00,20:30:00,1800
11.69936,20:30:00,25:30:00,2800
21.69936,04:30:00,08:30:00,1200
21.69936,08:30:00,20:30:00,1800
21.69936,20:30:00,25:30:00,2800
31.69936,04:30:00,08:30:00,1200
31.69936,08:30:00,20:30:00,1800
31.69936,20:30:00,25:30:00,2800
10.69937,04:30:00,08:30:00,1200
10.69937,08:30:00,20:30:00,1800
10.69937,20:30:00,25:30:00,2800
20.69937,04:30:00,08:30:00,1200
20.69937,08:30:00,20:30:00,1800
20.69937,20:30:00,25:30:00,2800
30.69937,04:30:00,08:30:00,1200
30.69937,08:30:00,20:30:00,1800
30.69937,20:30:00,25:30:00,2800
11.69937,04:30:00,08:30:00,1200
11.69937,08:30:00,20:30:00,1800
11.69937,20:30:00,25:30:00,2800
21.69937,04:30:00,08:30:00,1200
21.69937,08:30:00,20:30:00,1800
21.69937,20:30:00,25:30:00,2800
31.69937,04:30:00,08:30:00,1200
31.69937,08:30:00,20:30:00,1800
31.69937,20:30:00,25:30:00,2800
10.69998,04:30:00,08:30:00,1200
10.69998,08:30:00,20:30:00,1800
10.69998,20:30:00,25:30:00,2800
20.69998,04:30:00,08:30:00,1200
20.69998,08:30:00,20:30:00,1800
20.69998,20:30:00,25:30:00,2800
30.69998,04:30:00,08:30:00,1200
30.69998,08:30:00,20:30:00,1800
30.69998,20:30:00,25:30:00,2800
11.69998,04:30:00,08:30:00,1200
11.69998,08:30:00,20:30:00,1800
11.69998,20:30:00,25:30:00,2800
21.69998,04:30:00,08:30:00,1200
21.69998,08:30:00,20:30:00,1800
21.69998,20:30:00,25:30:00,2800
31.69998,04:30:00,08:30:00,1200
31.69998,08:30:00,20:30:00,1800
31.69998,20:30:00,25:30:00,2800
10.70035,04:30:00,08:30:00,1200
10.70035,08:30:00,20:30:00,1800
10.70035,20:30:00,25:30:00,2800
20.70035,04:30:00,08:30:00,1200
20.70035,08:30:00,20:30:00,1800
20.70035,20:30:00,25:30:00,2800
30.70035,04:30:00,08:30:00,1200
30.70035,08:30:00,20:30:00,1800
30.70035,20:30:00,25:30:00,2800
11.70035,04:30:00,08:30:00,1200
11.70035,08:30:00,20:30:00,1800
11.70035,20:30:00,25:30:00,2800
21.70035,04:30:00,08:30:00,1200
21.70035,08:30:00,20:30:00,1800
21.70035,20:30:00,25:30:00,2800
31.70035,04:30:00,08:30:00,1200
31.70035,08:30:00,20:30:00,1800
31.70035,20:30:00,25:30:00,2800
10.70036,04:30:00,08:30:00,1200
10.70036,08:30:00,20:30:00,1800
10.70036,20:30:00,25:30:00,2800
20.70036,04:30:00,08:30:00,1200
20.70036,08:30:00,20:30:00,1800
20.70036,20:30:00,25:30:00,2800
30.70036,04:30:00,08:30:00,1200
30.70036,08:30:00,20:30:00,1800
30.70036,20:30:00,25:30:00,2800
11.70036,04:30:00,08:30:00,1200
11.70036,08:30:00,20:30:00,1800
11.70036,20:30:00,25:30:00,2800
21.70036,04:30:00,08:30:00,1200
21.70036,08:30:00,20:30:00,1800
21.70036,20:30:00,25:30:00,2800
31.70036,04:30:00,08:30:00,1200
31.70036,08:30:00,20:30:00,1800
31.70036,20:30:00,25:30:00,2800
10.70042,04:30:00,08:30:00,1200
10.70042,08:30:00,20:30:00,1800
10.70042,20:30:00,25:30:00,2800
20.70042,04:30:00,08:30:00,1200
20.70042,08:30:00,20:30:00,1800
20.70042,20:30:00,25:30:00,2800
30.70042,04:30:00,08:30:00,1200
30.70042,08:30:00,20:30:00,1800
30.70042,20:30:00,25:30:00,2800
11.70042,04:30:00,08:30:00,1200
11.70042,08:30:00,20:30:00,1800
11.70042,20:30:00,25:30:00,2800
21.70042,04:30:00,08:30:00,1200
21.70042,08:30:00,20:30:00,1800
21.70042,20:30:00,25:30:00,2800
31.70042,04:30:00,08:30:00,1200
31.70042,08:30:00,20:30:00,1800
31.70042,20:30:00,25:30:00,2800
10.70045,04:30:00,08:30:00,1200
10.70045,08:30:00,20:30:00,1800
10.70045,20:30:00,25:30:00,2800
