[Rel: 35886]: super-relations are not supported yet. ref: 903630
[Rel: 1079463]: super-relations are not supported yet. ref: 3271919
[Rel: 2442549]: super-relations are not supported yet. ref: 903630
[Rel: 3271923]: super-relations are not supported yet. ref: 3271919
[Rel: 6311483]: super-relations are not supported yet. ref: 3140220
[Rel: 6311483]: super-relations are not supported yet. ref: 3140219
[Rel: 6311483]: super-relations are not supported yet. ref: 3140221
[Rel: 6311483]: super-relations are not supported yet. ref: 3140222
[no data] missing stop node. rel: https://osm.org/relation/7159183 node: https://osm.org/node/430055424.
[no data] missing stop node. rel: https://osm.org/relation/7188638 node: https://osm.org/node/4820156420.
[no data] missing stop node. rel: https://osm.org/relation/71150 node: https://osm.org/node/433045516.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/302874637.
[no data] missing stop node. rel: https://osm.org/relation/5732268 node: https://osm.org/node/302874640.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/302874641.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/4623310869.
[no data] missing stop node. rel: https://osm.org/relation/7159183 node: https://osm.org/node/3549208614.
[no data] missing stop node. rel: https://osm.org/relation/7159183 node: https://osm.org/node/3549208616.
[no data] missing stop node. rel: https://osm.org/relation/68320 node: https://osm.org/node/2919678012.
[no data] missing stop node. rel: https://osm.org/relation/6075589 node: https://osm.org/node/2805612605.
[no data] missing stop node. rel: https://osm.org/relation/69672 node: https://osm.org/node/400973889.
[no data] missing stop node. rel: https://osm.org/relation/6075592 node: https://osm.org/node/2805612609.
[no data] missing stop node. rel: https://osm.org/relation/6075594 node: https://osm.org/node/2805612611.
[no data] missing stop node. rel: https://osm.org/relation/6075596 node: https://osm.org/node/2805612610.
[no data] missing stop node. rel: https://osm.org/relation/6075597 node: https://osm.org/node/2805612612.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/833429575.
[no data] missing stop node. rel: https://osm.org/relation/68648 node: https://osm.org/node/433070156.
[no data] missing stop node. rel: https://osm.org/relation/7159183 node: https://osm.org/node/3549208654.
[no data] missing stop node. rel: https://osm.org/relation/68648 node: https://osm.org/node/433070163.
[no data] missing stop node. rel: https://osm.org/relation/7159170 node: https://osm.org/node/2463105110.
[no data] missing stop node. rel: https://osm.org/relation/7159172 node: https://osm.org/node/2463105115.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/833429609.
[no data] missing stop node. rel: https://osm.org/relation/3199938 node: https://osm.org/node/628072554.
[no data] missing stop node. rel: https://osm.org/relation/8533000 node: https://osm.org/node/2340331627.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/833429618.
[no data] missing stop node. rel: https://osm.org/relation/6075587 node: https://osm.org/node/301817972.
[no data] missing stop node. rel: https://osm.org/relation/6065320 node: https://osm.org/node/4068917366.
[no data] missing stop node. rel: https://osm.org/relation/6065320 node: https://osm.org/node/4068917365.
[no data] missing stop node. rel: https://osm.org/relation/1602333 node: https://osm.org/node/333799556.
[no data] missing stop node. rel: https://osm.org/relation/6271116 node: https://osm.org/node/4216160394.
[no data] missing stop node. rel: https://osm.org/relation/6271116 node: https://osm.org/node/4216160395.
[no data] missing stop node. rel: https://osm.org/relation/69270 node: https://osm.org/node/2755616913.
[no data] missing stop node. rel: https://osm.org/relation/3271923 node: https://osm.org/node/2496897172.
[no data] missing stop node. rel: https://osm.org/relation/3271923 node: https://osm.org/node/2496897173.
[no data] missing stop node. rel: https://osm.org/relation/8533000 node: https://osm.org/node/432554132.
[no data] missing stop node. rel: https://osm.org/relation/170986 node: https://osm.org/node/257400980.
[no data] missing stop node. rel: https://osm.org/relation/69742 node: https://osm.org/node/1014079650.
[no data] missing stop node. rel: https://osm.org/relation/69915 node: https://osm.org/node/432554149.
[no data] missing stop node. rel: https://osm.org/relation/71919 node: https://osm.org/node/302104742.
[no data] missing stop node. rel: https://osm.org/relation/8533000 node: https://osm.org/node/432554151.
[no data] missing stop node. rel: https://osm.org/relation/6634158 node: https://osm.org/node/432554153.
[no data] missing stop node. rel: https://osm.org/relation/70042 node: https://osm.org/node/5111480490.
[no data] missing stop node. rel: https://osm.org/relation/6634158 node: https://osm.org/node/432554157.
[no data] missing stop node. rel: https://osm.org/relation/1602333 node: https://osm.org/node/333799599.
[no data] missing stop node. rel: https://osm.org/relation/6092725 node: https://osm.org/node/3883237552.
[no data] missing stop node. rel: https://osm.org/relation/8533000 node: https://osm.org/node/432554164.
[no data] missing stop node. rel: https://osm.org/relation/69915 node: https://osm.org/node/459931846.
[no data] missing stop node. rel: https://osm.org/relation/70052 node: https://osm.org/node/833429709.
