route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
35886,50108231,7240.1,,,3,https://www.openstreetmap.org/relation/35886,,
51487,50108231,7216,Buslinie 7216,,3,https://www.openstreetmap.org/relation/51487,,
68224,66653266,241,,,3,https://www.openstreetmap.org/relation/68224,,
68320,50108231,7208,.1,,3,https://www.openstreetmap.org/relation/68320,,
68558,50108231,7215,Buslinie 7215,,3,https://www.openstreetmap.org/relation/68558,,
68648,50108231,7212,,,3,https://www.openstreetmap.org/relation/68648,,
69270,50108231,7200.1,,,3,https://www.openstreetmap.org/relation/69270,,
69322,50108231,7211,,,3,https://www.openstreetmap.org/relation/69322,,
69347,50108231,1076,ElsassRegio-Linie Freiburg-Colmar,,3,https://www.openstreetmap.org/relation/69347,,
69672,50108231,7206.1,,,3,https://www.openstreetmap.org/relation/69672,,
69742,59038768,14,OSM Route No. 69742,,3,https://www.openstreetmap.org/relation/69742,,
69751,59038768,25,OSM Route No. 69751,,3,https://www.openstreetmap.org/relation/69751,,
69754,59038768,36,Buslinie 36 Hochdorf <> Bissierstraße,,3,https://www.openstreetmap.org/relation/69754,,
69914,59038768,32,OSM Route No. 69914,,3,https://www.openstreetmap.org/relation/69914,,
69915,59038768,33,OSM Route No. 69915,,3,https://www.openstreetmap.org/relation/69915,,
69916,59038768,35,OSM Route No. 69916,,3,https://www.openstreetmap.org/relation/69916,,
69936,64664046,31,Buslinie 31 Freiburg - Tuniberg - Breisach,,3,https://www.openstreetmap.org/relation/69936,,
69937,59038768,19,OSM Route No. 69937,,3,https://www.openstreetmap.org/relation/69937,,
69998,59038768,27,Hauptbahnhof-to-Richard-Strauss-Straße,,3,https://www.openstreetmap.org/relation/69998,,
70035,59038768,15,"Bergasse, Freiburg im Breisgau-to-Gundelfinger Straße, Freiburg im Breisgau",,3,https://www.openstreetmap.org/relation/70035,,
70036,59038768,16,"Gundelfinger Straße, Freiburg im Breisgau-to-Gundelfingen Bahnhof",,3,https://www.openstreetmap.org/relation/70036,,
70042,59038768,17,OSM Route No. 70042,,3,https://www.openstreetmap.org/relation/70042,,
70043,59038768,18,OSM Route No. 70043,,3,https://www.openstreetmap.org/relation/70043,,
70045,77150836,221,OSM Route No. 70045,,3,https://www.openstreetmap.org/relation/70045,,
70052,44041464,271,OSM Route No. 70052,,3,https://www.openstreetmap.org/relation/70052,,
70329,59038768,21,OSM Route No. 70329,,3,https://www.openstreetmap.org/relation/70329,,
70369,50108231,1076,ElsassRegio-Linie Freiburg-Colmar,,3,https://www.openstreetmap.org/relation/70369,,
71150,63079584,204,OSM Route No. 71150,,3,https://www.openstreetmap.org/relation/71150,,
71919,66653266,242,,,3,https://www.openstreetmap.org/relation/71919,,
72507,64664046,SB 2,OSM Route No. 72507,,3,https://www.openstreetmap.org/relation/72507,,
72535,66543996,104,OSM Route No. 72535,,3,https://www.openstreetmap.org/relation/72535,,
72536,70663970,AST 5,OSM Route No. 72536,,3,https://www.openstreetmap.org/relation/72536,,
74928,66653266,243,OSM Route No. 74928,,3,https://www.openstreetmap.org/relation/74928,,
74932,64664046,311,,,3,https://www.openstreetmap.org/relation/74932,,
77647,64664046,N47,,,3,https://www.openstreetmap.org/relation/77647,,
77721,66543996,105,OSM Route No. 77721,,3,https://www.openstreetmap.org/relation/77721,,
120458,50108231,7209.1 O,OSM Route No. 120458,,3,https://www.openstreetmap.org/relation/120458,,
170986,66543996,102,OSM Route No. 170986,,3,https://www.openstreetmap.org/relation/170986,,
171590,66543996,114,OSM Route No. 171590,,3,https://www.openstreetmap.org/relation/171590,,
173118,59038768,17 SVK,"Buslinie 17, Sonderverkehr Kartäuserstraße",,3,https://www.openstreetmap.org/relation/173118,,
318785,63079584,201,OSM Route No. 318785,,3,https://www.openstreetmap.org/relation/318785,,
334972,66653266,242.3,OSM Route No. 334972,,3,https://www.openstreetmap.org/relation/334972,,
421622,34745836,301,OSM Route No. 421622,,3,https://www.openstreetmap.org/relation/421622,,
422973,34745836,303,OSM Route No. 422973,,3,https://www.openstreetmap.org/relation/422973,,
445581,-1,727,Freiburg (Breisgau) Hbf-to-Donaueschingen,,2,https://www.openstreetmap.org/relation/445581,,
556304,59038768,17,"Lassbergstraße, Freiburg im Breisgau-to-Löwen, Freiburg im Breisgau",,3,https://www.openstreetmap.org/relation/556304,,
659834,59038768,15,"Gundelfinger Straße, Freiburg im Breisgau-to-Berggasse. Freiburg im Breisgau",,3,https://www.openstreetmap.org/relation/659834,,
1079463,59038768,1,Moosweiher-to-Lassbergstraße,,0,https://www.openstreetmap.org/relation/1079463,,
1079464,59038768,1,Lassbergstraße-to-Moosweiher,,0,https://www.openstreetmap.org/relation/1079464,,
1080375,59038768,2,Hornusstraße-to-Dorfstraße,,0,https://www.openstreetmap.org/relation/1080375,,
1080376,59038768,2,Dorfstraße-to-Hornusstraße,,0,https://www.openstreetmap.org/relation/1080376,,
1104119,59038768,3,Innsbrucker Straße-to-Munzinger Straße,,0,https://www.openstreetmap.org/relation/1104119,,
1104120,59038768,3,Munzinger Straße-to-Innsbrucker Straße,,0,https://www.openstreetmap.org/relation/1104120,,
1108847,59038768,5,Hornusstraße-to-Bollerstaudenstraße,,0,https://www.openstreetmap.org/relation/1108847,,
1108848,59038768,5,Bollerstaudenstraße-to-Hornusstraße,,0,https://www.openstreetmap.org/relation/1108848,,
1108885,2123873,7,Oldtimer-Linie 7: Musikhochschule -> Paduaallee,,0,https://www.openstreetmap.org/relation/1108885,,
1108886,2123873,7,Oldtimer-Linie 7: Paduaallee -> Musikhochschule,,0,https://www.openstreetmap.org/relation/1108886,,
1197648,59038768,10,Gundelfinger Straße-to-Paduaallee,,3,https://www.openstreetmap.org/relation/1197648,,
1197649,59038768,10,Paduaallee-to-Gundelfinger Straße,,3,https://www.openstreetmap.org/relation/1197649,,
1560703,50108231,SB 1,OSM Route No. 1560703,,3,https://www.openstreetmap.org/relation/1560703,,
1567052,98110442,,Schlossbergbahn,,2,https://www.openstreetmap.org/relation/1567052,,
1602986,59038768,11,Schneeburgstraße-to-Scherrerplatz,,3,https://www.openstreetmap.org/relation/1602986,,
1608136,59038768,11,Pressehaus-to-Munzinger-Straße,,3,https://www.openstreetmap.org/relation/1608136,,
1608137,59038768,11,Munzinger-Straße-to-Hauptbahnhof,,3,https://www.openstreetmap.org/relation/1608137,,
1608138,59038768,11,Munzinger-Straße-to-Pressehaus,,3,https://www.openstreetmap.org/relation/1608138,,
1608140,59038768,11,Hauptbahnhof-to-Munzinger-Straße,,3,https://www.openstreetmap.org/relation/1608140,,
1781296,-1,702,Mannheim Hbf-to-Basel Bad Bf,,2,https://www.openstreetmap.org/relation/1781296,,
1844085,-1,,Leutersberg-to-Gundelfingen Abzw,,2,https://www.openstreetmap.org/relation/1844085,,
1866696,50108231,7208.2,OSM Route No. 1866696,,3,https://www.openstreetmap.org/relation/1866696,,
1877862,59038768,27,Richard-Strauss-Straße-to-Hauptbahnhof,,3,https://www.openstreetmap.org/relation/1877862,,
2440920,50108231,7244,Schulbus Schallstadt-Mengen,,3,https://www.openstreetmap.org/relation/2440920,,
2442549,50108231,7240.2,,,3,https://www.openstreetmap.org/relation/2442549,,
2443752,66653266,241 AST,,,3,https://www.openstreetmap.org/relation/2443752,,
2458059,20979432,BB 3,Bürgerbus Breisach Linie 3,,3,https://www.openstreetmap.org/relation/2458059,,
2458115,20979432,BB 4,OSM Route No. 2458115,,3,https://www.openstreetmap.org/relation/2458115,,
3018847,64477353,007,Hamburg ZOB-to-Zürich HB,,3,https://www.openstreetmap.org/relation/3018847,,
3046208,64477353,008,Tübingen-to-Lörrach,,3,https://www.openstreetmap.org/relation/3046208,,
3199938,64664046,N46,"Bahnhof, Breisach-to-Emletweg, Merdingen",,3,https://www.openstreetmap.org/relation/3199938,,
3199939,64664046,N46,"Munzinger Straße, Freiburg-to-Bahnhof, Breisach",,3,https://www.openstreetmap.org/relation/3199939,,
3247370,59038768,34,KEIDEL Mineralthermalbad-to-Munzinger Straße,,3,https://www.openstreetmap.org/relation/3247370,,
3250566,59038768,34,Munzinger Straße-to-KEIDEL Mineralthermalbad,,3,https://www.openstreetmap.org/relation/3250566,,
3385101,50108231,7200.1,OSM Route No. 3385101,,3,https://www.openstreetmap.org/relation/3385101,,
3385699,50108231,7200 N,OSM Route No. 3385699,,3,https://www.openstreetmap.org/relation/3385699,,
3392264,50108231,7209.1,OSM Route No. 3392264,,3,https://www.openstreetmap.org/relation/3392264,,
3432304,63079584,200,OSM Route No. 3432304,,3,https://www.openstreetmap.org/relation/3432304,,
3567082,59038768,16,"Gundelfingen Bahnhof-to-Gundelfinger Straße, Freiburg im Breisgau",,3,https://www.openstreetmap.org/relation/3567082,,
3737189,59038768,5,Bollerstaudenstraße-to-Gundelfinger Straße,,0,https://www.openstreetmap.org/relation/3737189,,
3737190,59038768,5,Gundelfinger Straße-to-Bollerstaudenstraße,,0,https://www.openstreetmap.org/relation/3737190,,
5563137,31487274,295,Buslinie 295 Freiburg - Vogtsburg,,3,https://www.openstreetmap.org/relation/5563137,,
5567835,67061177,309,Regiobus Breisach - Bad Krozingen,,3,https://www.openstreetmap.org/relation/5567835,,
5703346,59038768,10,Paduaallee-to-Gundelfinger Straße,,3,https://www.openstreetmap.org/relation/5703346,,
5703347,59038768,10,Gundelfinger Straße-to-Paduaallee,,3,https://www.openstreetmap.org/relation/5703347,,
5732268,50108231,7206.2,OSM Route No. 5732268,,3,https://www.openstreetmap.org/relation/5732268,,
6092717,59038768,4,Technische Fakultät-to-Gundelfinger Straße,,0,https://www.openstreetmap.org/relation/6092717,,
6092718,59038768,4,Gundelfinger Straße-to-Am Lindenwäldle,,0,https://www.openstreetmap.org/relation/6092718,,
6634155,59038768,24,Gundelfingen Bahnhof-to-Munzinger-Straße,,3,https://www.openstreetmap.org/relation/6634155,,
6634156,59038768,24,Gundelfingen Bahnhof-to-Munzinger-Straße,,3,https://www.openstreetmap.org/relation/6634156,,
6634157,59038768,24,Munzinger-Straße-to-Gundelfingen Bahnhof,,3,https://www.openstreetmap.org/relation/6634157,,
6634158,59038768,24,Munzinger-Straße-to-Gundelfingen Bahnhof,,3,https://www.openstreetmap.org/relation/6634158,,
6794748,50108231,7206 N,,,3,https://www.openstreetmap.org/relation/6794748,,
7188637,83874202,011,Konstanz Döbeleplatz-to-Amsterdam Sloterdijk,,3,https://www.openstreetmap.org/relation/7188637,,
7188638,83874202,011,Amsterdam Sloterdijk-to-Konstanz Döbeleplatz,,3,https://www.openstreetmap.org/relation/7188638,,
8047736,97698839,B,SEV B Tagesrandlage,,3,https://www.openstreetmap.org/relation/8047736,,
8047747,97698839,B,SEV B Tagesrandlage,,3,https://www.openstreetmap.org/relation/8047747,,
8533000,59038768,24,Gundelfingen Bahnhof-to-Munzinger-Straße,,3,https://www.openstreetmap.org/relation/8533000,,
