shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
35886,47.9841926,7.7958945,0
35886,47.9840433,7.7956492,1
35886,47.9561221,7.7531502,2
35886,47.956203,7.7538041,3
35886,47.9880759,7.7957349,4
35886,47.9879183,7.7958853,5
35886,47.9742323,7.7842102,6
35886,47.9595191,7.7650617,7
35886,47.9569084,7.7599627,8
35886,47.9568416,7.7594455,9
35886,47.9898008,7.837276,10
35886,47.9871162,7.8357765,11
35886,47.9855755,7.8295249,12
35886,47.9849745,7.8224193,13
35886,47.9811594,7.8203474,14
35886,47.9782594,7.8161403,15
35886,47.9809321,7.7937151,16
35886,47.9668197,7.7761166,17
35886,47.9666774,7.7758376,18
35886,47.9811293,7.7943529,19
35886,47.9809876,7.8038044,20
35886,47.9782199,7.8157328,21
35886,47.9848626,7.8223019,22
35886,47.9854608,7.8298174,23
35886,47.9866518,7.8360202,24
35886,47.9903705,7.8376845,25
35886,47.9841626,7.7958368,26
35886,47.9962871,7.840786,27
35886,47.9437231,7.7358402,28
35886,47.9741243,7.7840951,29
51487,47.9908256,7.8533399,0
51487,47.9966974,7.8411224,1
68224,47.956203,7.7538041,0
68224,47.9561221,7.7531502,1
68224,47.9880759,7.7957349,2
68224,47.9595191,7.7650617,3
68224,47.9569084,7.7599627,4
68224,47.9568416,7.7594455,5
68224,47.9898008,7.837276,6
68224,47.9871162,7.8357765,7
68224,47.9855755,7.8295249,8
68224,47.9854595,7.826621,9
68224,47.9849745,7.8224193,10
68224,47.9668197,7.7761166,11
68224,47.9811293,7.7943529,12
68224,47.9848626,7.8223019,13
68224,47.9853196,7.8262881,14
68224,47.9854608,7.8298174,15
68224,47.9903705,7.8376845,16
68224,47.9866518,7.8360202,17
68224,47.9961013,7.8406394,18
68224,47.9675291,7.6957541,19
68224,47.9741243,7.7840951,20
68320,47.9466766,7.8201585,0
68320,47.9744305,7.8275453,1
68320,47.9392131,7.8171546,2
68320,47.9898008,7.837276,3
68320,47.9871162,7.8357765,4
68320,47.9837966,7.8362334,5
