trip_id,arrival_time,departure_time,stop_id,stop_sequence
10.35886,05:00:00,05:00:30,297933070,0
10.35886,05:14:40,05:15:10,301849994,1
10.35886,05:15:13,05:15:43,301849995,2
10.35886,05:20:59,05:21:29,671245944,3
10.35886,05:29:24,05:29:54,295706325,4
20.35886,05:20:00,05:20:30,297933070,0
20.35886,05:34:40,05:35:10,301849994,1
20.35886,05:35:13,05:35:43,301849995,2
20.35886,05:40:59,05:41:29,671245944,3
20.35886,05:49:24,05:49:54,295706325,4
30.35886,05:40:00,05:40:30,297933070,0
30.35886,05:54:40,05:55:10,301849994,1
30.35886,05:55:13,05:55:43,301849995,2
30.35886,06:00:59,06:01:29,671245944,3
30.35886,06:09:24,06:09:54,295706325,4
11.35886,05:00:00,05:00:30,297933070,0
11.35886,05:14:40,05:15:10,301849994,1
11.35886,05:15:13,05:15:43,301849995,2
11.35886,05:20:59,05:21:29,671245944,3
11.35886,05:29:24,05:29:54,295706325,4
21.35886,05:20:00,05:20:30,297933070,0
21.35886,05:34:40,05:35:10,301849994,1
21.35886,05:35:13,05:35:43,301849995,2
21.35886,05:40:59,05:41:29,671245944,3
21.35886,05:49:24,05:49:54,295706325,4
31.35886,05:40:00,05:40:30,297933070,0
31.35886,05:54:40,05:55:10,301849994,1
31.35886,05:55:13,05:55:43,301849995,2
31.35886,06:00:59,06:01:29,671245944,3
31.35886,06:09:24,06:09:54,295706325,4
10.68320,05:00:00,05:00:30,430900564,0
10.68320,05:09:54,05:10:24,261086945,1
10.68320,05:22:22,05:22:52,300117551,2
10.68320,05:45:17,05:45:47,301275089,3
10.68320,06:13:36,06:14:06,206243625,4
20.68320,05:20:00,05:20:30,430900564,0
20.68320,05:29:54,05:30:24,261086945,1
20.68320,05:42:22,05:42:52,300117551,2
20.68320,06:05:17,06:05:47,301275089,3
20.68320,06:33:36,06:34:06,206243625,4
30.68320,05:40:00,05:40:30,430900564,0
30.68320,05:49:54,05:50:24,261086945,1
30.68320,06:02:22,06:02:52,300117551,2
