route_id,service_id,trip_id,trip_headsign,shape_id
35886,WE,10.35886,[Dummy],35886
35886,WE,20.35886,[Dummy],35886
35886,WE,30.35886,[Dummy],35886
35886,WD,11.35886,[Dummy],35886
35886,WD,21.35886,[Dummy],35886
35886,WD,31.35886,[Dummy],35886
51487,WE,10.51487,[Dummy]Buslinie 7216,51487
51487,WE,20.51487,[Dummy]Buslinie 7216,51487
51487,WE,30.51487,[Dummy]Buslinie 7216,51487
51487,WD,11.51487,[Dummy]Buslinie 7216,51487
51487,WD,21.51487,[Dummy]Buslinie 7216,51487
51487,WD,31.51487,[Dummy]Buslinie 7216,51487
68224,WE,10.68224,[Dummy],68224
68224,WE,20.68224,[Dummy],68224
68224,WE,30.68224,[Dummy],68224
68224,WD,11.68224,[Dummy],68224
68224,WD,21.68224,[Dummy],68224
68224,WD,31.68224,[Dummy],68224
68320,WE,10.68320,[Dummy].1,68320
68320,WE,20.68320,[Dummy].1,68320
68320,WE,30.68320,[Dummy].1,68320
68320,WD,11.68320,[Dummy].1,68320
68320,WD,21.68320,[Dummy].1,68320
68320,WD,31.68320,[Dummy].1,68320
68558,WE,10.68558,[Dummy]Buslinie 7215,68558
68558,WE,20.68558,[Dummy]Buslinie 7215,68558
68558,WE,30.68558,[Dummy]Buslinie 7215,68558
68558,WD,11.68558,[Dummy]Buslinie 7215,68558
68558,WD,21.68558,[Dummy]Buslinie 7215,68558
68558,WD,31.68558,[Dummy]Buslinie 7215,68558
68648,WE,10.68648,[Dummy],68648
68648,WE,20.68648,[Dummy],68648
68648,WE,30.68648,[Dummy],68648
68648,WD,11.68648,[Dummy],68648
68648,WD,21.68648,[Dummy],68648
68648,WD,31.68648,[Dummy],68648
69270,WE,10.69270,[Dummy],69270
69270,WE,20.69270,[Dummy],69270
69270,WE,30.69270,[Dummy],69270
69270,WD,11.69270,[Dummy],69270
69270,WD,21.69270,[Dummy],69270
69270,WD,31.69270,[Dummy],69270
69322,WE,10.69322,[Dummy],69322
69322,WE,20.69322,[Dummy],69322
69322,WE,30.69322,[Dummy],69322
69322,WD,11.69322,[Dummy],69322
69322,WD,21.69322,[Dummy],69322
69322,WD,31.69322,[Dummy],69322
69347,WE,10.69347,[Dummy]ElsassRegio-Linie Freiburg-Colmar,69347
69347,WE,20.69347,[Dummy]ElsassRegio-Linie Freiburg-Colmar,69347
69347,WE,30.69347,[Dummy]ElsassRegio-Linie Freiburg-Colmar,69347
69347,WD,11.69347,[Dummy]ElsassRegio-Linie Freiburg-Colmar,69347
69347,WD,21.69347,[Dummy]ElsassRegio-Linie Freiburg-Colmar,69347
69347,WD,31.69347,[Dummy]ElsassRegio-Linie Freiburg-Colmar,69347
69672,WE,10.69672,[Dummy],69672
69672,WE,20.69672,[Dummy],69672
69672,WE,30.69672,[Dummy],69672
69672,WD,11.69672,[Dummy],69672
69672,WD,21.69672,[Dummy],69672
69672,WD,31.69672,[Dummy],69672
69742,WE,10.69742,[Dummy]OSM Route No. 69742,69742
69742,WE,20.69742,[Dummy]OSM Route No. 69742,69742
69742,WE,30.69742,[Dummy]OSM Route No. 69742,69742
69742,WD,11.69742,[Dummy]OSM Route No. 69742,69742
69742,WD,21.69742,[Dummy]OSM Route No. 69742,69742
69742,WD,31.69742,[Dummy]OSM Route No. 69742,69742
69754,WE,10.69754,[Dummy]Buslinie 36 Hochdorf <> Bissierstraße,69754
69754,WE,20.69754,[Dummy]Buslinie 36 Hochdorf <> Bissierstraße,69754
69754,WE,30.69754,[Dummy]Buslinie 36 Hochdorf <> Bissierstraße,69754
69754,WD,11.69754,[Dummy]Buslinie 36 Hochdorf <> Bissierstraße,69754
69754,WD,21.69754,[Dummy]Buslinie 36 Hochdorf <> Bissierstraße,69754
69754,WD,31.69754,[Dummy]Buslinie 36 Hochdorf <> Bissierstraße,69754
